Date,Gold_Price,Silver_Price
2020-04-29,51242.9,589.29
2020-04-30,51386.55,590.95
2020-05-01,48920.92,562.59
2020-05-02,52474.19,603.45
2020-05-03,48352.22,556.05
2020-05-04,51420.29,591.33
2020-05-05,53910.68,619.97
2020-05-06,49224.2,566.08
2020-05-07,49945.55,574.37
2020-05-08,51029.48,586.84
2020-05-09,50209.79,577.41
2020-05-10,48724.0,560.33
2020-05-11,51237.84,589.24
2020-05-12,49626.54,570.71
2020-05-13,52015.39,598.18
2020-05-14,50010.86,575.12
2020-05-15,53799.9,618.7
2020-05-16,50385.12,579.43
2020-05-17,51161.91,588.36
2020-05-18,52950.28,608.93
2020-05-19,49968.7,574.64
2020-05-20,52241.19,600.77
2020-05-21,53945.71,620.38
2020-05-22,49658.78,571.08
2020-05-23,52431.95,602.97
2020-05-24,52629.82,605.24
2020-05-25,53497.73,615.22
2020-05-26,50554.57,581.38
2020-05-27,50514.32,580.91
2020-05-28,53362.91,613.67
2020-05-29,53110.48,610.77
2020-05-30,53125.74,610.95
2020-05-31,53354.67,613.58
2020-06-01,51899.96,596.85
2020-06-02,53353.38,613.56
2020-06-03,53529.61,615.59
2020-06-04,52103.47,599.19
2020-06-05,56058.66,644.67
2020-06-06,54055.75,621.64
2020-06-07,51643.04,593.9
2020-06-08,54499.83,626.75
2020-06-09,52137.98,599.59
2020-06-10,54865.63,630.95
2020-06-11,55507.89,638.34
2020-06-12,52623.98,605.18
2020-06-13,55385.06,636.93
2020-06-14,54644.17,628.41
2020-06-15,55343.09,636.45
2020-06-16,57040.19,655.96
2020-06-17,53911.92,619.99
2020-06-18,53234.4,612.2
2020-06-19,53115.73,610.83
2020-06-20,53311.28,613.08
2020-06-21,54504.35,626.8
2020-06-22,55216.73,634.99
2020-06-23,55205.04,634.86
2020-06-24,56115.77,645.33
2020-06-25,54979.5,632.26
2020-06-26,57225.3,658.09
2020-06-27,54733.01,629.43
2020-06-28,59295.25,681.9
2020-06-29,56238.5,646.74
2020-06-30,54099.26,622.14
2020-07-01,53863.66,619.43
2020-07-02,56278.71,647.21
2020-07-03,55304.81,636.01
2020-07-04,56796.0,653.15
2020-07-05,56519.86,649.98
2020-07-06,55785.76,641.54
2020-07-07,54709.81,629.16
2020-07-08,53792.73,618.62
2020-07-09,55480.23,638.02
2020-07-10,57519.6,661.48
2020-07-11,56641.14,651.37
2020-07-12,54536.39,627.17
2020-07-13,56749.77,652.62
2020-07-14,57152.98,657.26
2020-07-15,55334.21,636.34
2020-07-16,56975.59,655.22
2020-07-17,56917.31,654.55
2020-07-18,55200.54,634.81
2020-07-19,57536.68,661.67
2020-07-20,57926.18,666.15
2020-07-21,58794.58,676.14
2020-07-22,58835.7,676.61
2020-07-23,55273.5,635.65
2020-07-24,56018.26,644.21
2020-07-25,58282.55,670.25
2020-07-26,58365.68,671.21
2020-07-27,58452.57,672.2
2020-07-28,63544.1,730.76
2020-07-29,58706.34,675.12
2020-07-30,59638.35,685.84
2020-07-31,59451.0,683.69
2020-08-01,59082.09,679.44
2020-08-02,57717.1,663.75
2020-08-03,59413.45,683.25
2020-08-04,57200.76,657.81
2020-08-05,58089.77,668.03
2020-08-06,57801.95,664.72
2020-08-07,58737.81,675.48
2020-08-08,62171.99,714.98
2020-08-09,55984.1,643.82
2020-08-10,59899.39,688.84
2020-08-11,56535.93,650.16
2020-08-12,58332.1,670.82
2020-08-13,60758.43,698.72
2020-08-14,59306.42,682.02
2020-08-15,57678.38,663.3
2020-08-16,58307.04,670.53
2020-08-17,60484.4,695.57
2020-08-18,58454.45,672.23
2020-08-19,59959.69,689.54
2020-08-20,59788.36,687.57
2020-08-21,58827.6,676.52
2020-08-22,63105.92,725.72
2020-08-23,60925.88,700.65
2020-08-24,57022.29,655.76
2020-08-25,60424.68,694.88
2020-08-26,59237.32,681.23
2020-08-27,61593.65,708.33
2020-08-28,59211.22,680.93
2020-08-29,60312.9,693.6
2020-08-30,61327.48,705.27
2020-08-31,61953.63,712.47
2020-09-01,58939.56,677.8
2020-09-02,60323.25,693.72
2020-09-03,60197.58,692.27
2020-09-04,60015.01,690.17
2020-09-05,63728.18,732.87
2020-09-06,61772.47,710.38
2020-09-07,59358.67,682.62
2020-09-08,62711.79,721.19
2020-09-09,64603.23,742.94
2020-09-10,63053.7,725.12
2020-09-11,59310.95,682.08
2020-09-12,60948.65,700.91
2020-09-13,63660.37,732.09
2020-09-14,60783.5,699.01
2020-09-15,62595.73,719.85
2020-09-16,63176.95,726.53
2020-09-17,60709.6,698.16
2020-09-18,62095.71,714.1
2020-09-19,57408.1,660.19
2020-09-20,60818.42,699.41
2020-09-21,62061.15,713.7
2020-09-22,60653.33,697.51
2020-09-23,65058.62,748.17
2020-09-24,60549.79,696.32
2020-09-25,62119.93,714.38
2020-09-26,63061.11,725.2
2020-09-27,65111.91,748.79
2020-09-28,60881.21,700.13
2020-09-29,64864.75,745.94
2020-09-30,63220.35,727.03
2020-10-01,61817.74,710.9
2020-10-02,64068.16,736.78
2020-10-03,63758.59,733.22
2020-10-04,62644.67,720.41
2020-10-05,63734.7,732.95
2020-10-06,63137.03,726.08
2020-10-07,63970.28,735.66
2020-10-08,64878.2,746.1
2020-10-09,66349.03,763.01
2020-10-10,62198.28,715.28
2020-10-11,67339.55,774.4
2020-10-12,61296.87,704.91
2020-10-13,64082.32,736.95
2020-10-14,65277.48,750.69
2020-10-15,64901.49,746.37
2020-10-16,63630.95,731.76
2020-10-17,64337.82,739.88
2020-10-18,63995.5,735.95
2020-10-19,63935.95,735.26
2020-10-20,66179.4,761.06
2020-10-21,65525.52,753.54
2020-10-22,64035.64,736.41
2020-10-23,66509.4,764.86
2020-10-24,65705.95,755.62
2020-10-25,66549.29,765.32
2020-10-26,66359.44,763.13
